PCODE,SHORT_NAME,LONG_NAME,Units,Threshold_Val_txt,Threshold_Type
62008,"Diltiazem, wf","Diltiazem, water, filtered, recoverable, micrograms per liter",µg/L,,
62011,"Fluoxetine, wf","Fluoxetine, water, filtered, recoverable, micrograms per liter",µg/L,,
62019,"Ranitidine, wf","Ranitidine, water, filtered, recoverable, micrograms per liter",µg/L,,
62020,"Salbutamol, wf","Salbutamol, water, filtered, recoverable, micrograms per liter",µg/L,,
62021,"Sulfamethoxazole,wf","Sulfamethoxazole, water, filtered, recoverable, micrograms per liter",µg/L,,
62023,"Trimethoprim, wf","Trimethoprim, water, filtered, recoverable, micrograms per liter",µg/L,,
62024,"Warfarin, wf","Warfarin, water, filtered, recoverable, micrograms per liter",µg/L,,
62030,"p-Xanthine, wf","p-Xanthine, water, filtered, recoverable, micrograms per liter",µg/L,,
62166,"Fipronil, wf","Fipronil, water, filtered, recoverable, micrograms per liter",µg/L,0.1,HBSL
62636,"Alpha,72hr, wf,Th230","Alpha radioactivity, 72-hour count, water, filtered, Th-230 curve, picocuries per liter",pCi/L,15,MCL-US
62642,"Beta, 72hr/Cs137, wf","Beta radioactivity, 72-hour count, water, filtered, Cs-137 curve, picocuries per liter",pCi/L,50,MCL-CA
62793,"Carbamazepine, wf","Carbamazepine, water, filtered, recoverable, micrograms per liter",µg/L,,
62796,"Diphenhydramine, wf","Diphenhydramine, water, filtered, recoverable, micrograms per liter",µg/L,,
62801,"Thiabendazole, wf","Thiabendazole, water, filtered, recoverable, micrograms per liter",µg/L,,
63790,"Perchlorate, wf","Perchlorate, water, filtered, micrograms per liter",µg/L,6,MCL-CA
70300,"Residue, ROE@180C,wf","Residue on evaporation, dried at 180 degrees Celsius, water, filtered, milligrams per lite",mg/L,1000,SMCL-CA
71890,"Mercury, wf","Mercury, water, filtered, micrograms per liter",mg/L,2,MCL-US
73547,tr-14Dichloro2butene,"trans-1,4-Dichloro-2-butene, water, unfiltered, recoverable, micrograms per liter",µg/L,,
73570,"Ethyl methacrylate,u","Ethyl methacrylate, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77035,"t-Butyl alcohol, wu","tert-Butyl alcohol, water, unfiltered, recoverable, micrograms per liter",µg/L,12,NL-CA
77041,"Carbon disulfide, wu","Carbon disulfide, water, unfiltered, micrograms per liter",µg/L,700,HBSL
77093,cis12Dichloroethene,"cis-1,2-Dichloroethene, water, unfiltered, recoverable, micrograms per liter",µg/L,6,MCL-CA
77103,"Butylmethylketone,wu","n-Butyl methyl ketone, water, unfiltered, recoverable, micrograms per liter",µg/L,40,HBSL
77128,"Styrene, wu","Styrene, water, unfiltered, recoverable, micrograms per liter",µg/L,100,MCL-US
77135,"o-Xylene, wu","o-Xylene, water, unfiltered, recoverable, micrograms per liter",µg/L,1750,MCL-CA
77168,"11Dichloropropene,wu","1,1-Dichloropropene, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77170,"22Dichloropropane,wu","2,2-Dichloropropane, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77173,"13Dichloropropane,wu","1,3-Dichloropropane, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77220,"2-Ethyltoluene, wu","2-Ethyltoluene, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77221,123-Trimethylbenzene,"1,2,3-Trimethylbenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77222,124-Trimethylbenzene,"1,2,4-Trimethylbenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,330,NL-CA
77223,"Isopropylbenzene, wu","Isopropylbenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,700,HBSL
77224,"n-Propylbenzene, wu","n-Propylbenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,260,NL-CA
77226,135-Trimethylbenzene,"1,3,5-Trimethylbenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,330,NL-CA
77275,"2-Chlorotoluene, wu","2-Chlorotoluene, water, unfiltered, recoverable, micrograms per liter",µg/L,100,HBSL
77277,"4-Chlorotoluene, wu","4-Chlorotoluene, water, unfiltered, recoverable, micrograms per liter",µg/L,100,HBSL
77297,"Bromochloromethane,u","Bromochloromethane, water, unfiltered, recoverable, micrograms per liter",µg/L,90,HBSL
77342,"n-Butylbenzene, wu","n-Butylbenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,260,NL-CA
77350,"sec-Butylbenzene, wu","sec-Butylbenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,260,NL-CA
77353,"t-Butylbenzene, wu","tert-Butylbenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,260,NL-CA
77356,"4Isopropyltoluene,wu","4-Isopropyltoluene, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77424,"Iodomethane, wu","Iodomethane, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77443,123-Trichloropropane,"1,2,3-Trichloropropane, water, unfiltered, recoverable, micrograms per liter",µg/L,0.6,MCL-HI
77562,1112Tetrachloroethan,"1,1,1,2-Tetrachloroethane, water, unfiltered, recoverable, micrograms per liter",µg/L,70,HBSL
77613,123-Trichlorobenzene,"1,2,3-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,,
77651,"1,2-Dibromoethane,wu","1,2-Dibromoethane, water, unfiltered, recoverable, micrograms per liter",µg/L,0.05,MCL-US
77652,"CFC-113, wu","1,1,2-Trichloro-1,2,2-trifluoroethane, water, unfiltered, recoverable, micrograms per liter",µg/L,1200,MCL-CA
78032,"MTBE, wu","Methyl tert-butyl ether, water, unfiltered, recoverable, micrograms per liter",µg/L,13,MCL-CA
78109,"3-Chloropropene, wu","3-Chloropropene, water, unfiltered, recoverable, micrograms per liter",µg/L,,
78133,Isobutylmethylketone,"Isobutyl methyl ketone, water, unfiltered, recoverable, micrograms per liter",µg/L,120,NL-CA
79846,"cis-Propiconazole,wf","cis-Propiconazole, water, filtered, recoverable, micrograms per liter",µg/L,70,HBSL
79847,"tr-Propiconazole, wf","trans-Propiconazole, water, filtered, recoverable, micrograms per liter",µg/L,70,HBSL
81366,"Ra-228, wf","Radium-228, water, filtered, picocuries per liter",pCi/L,5,MCL-US
81552,"Acetone, wu","Acetone, water, unfiltered, recoverable, micrograms per liter",µg/L,6000,HBSL
81555,"Bromobenzene, wu","Bromobenzene, water, unfiltered, recoverable, micrograms per liter",µg/L,60,HBSL
81576,"Diethyl ether, wu","Diethyl ether, water, unfiltered, recoverable, micrograms per liter",µg/L,1000,HBSL
81577,"Diisopropyl ether,wu","Diisopropyl ether, water, unfiltered, recoverable, micrograms per liter",µg/L,,
81582,"1,4-Dioxane, wu","1,4-Dioxane, water, unfiltered, recoverable, micrograms per liter",,1,NL-CA
81593,"Methacrylonitrile,wu","Methyl acrylonitrile, water, unfiltered, recoverable, micrograms per liter",µg/L,0.7,HBSL
81595,"Ethylmethylketone,wu","Ethyl methyl ketone, water, unfiltered, recoverable, micrograms per liter",µg/L,4000,HBSL
81597,Methyl methacrylate,"Methyl methacrylate, water, unfiltered, recoverable, micrograms per liter",µg/L,10000,HBSL
81607,"Tetrahydrofuran, wu","Tetrahydrofuran, water, unfiltered, recoverable, micrograms per liter",µg/L,,
82346,"Ethion, wf","Ethion, water, filtered, recoverable, micrograms per liter",µg/L,4,HBSL
82625,Dibromochloropropane,"1,2-Dibromo-3-chloropropane, water, unfiltered, recoverable, micrograms per liter",µg/L,0.2,MCL-US
82630,"Metribuzin, wf","Metribuzin, water, filtered, recoverable, micrograms per liter",µg/L,90,HBSL
82661,"Trifluralin,w,gf<.7u","Trifluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,20,HBSL
82662,"Dimethoate, w,gf<.7u","Dimethoate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,2,HBSL
82664,"Phorate, w,gf<.7u","Phorate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,4,HBSL
82667,"Methyl parathion, gf","Methyl parathion, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,1,HBSL
82668,"EPTC, w,gf<.7u","EPTC, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,200,HBSL
82670,"Tebuthiuron,w,gf<.7u","Tebuthiuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,1000,HBSL
82671,"Molinate, w,gf<.7u","Molinate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,20,MCL-CA
82672,"Ethoprop, w,gf<.7u","Ethoprop, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,100,HBSL
82673,"Benfluralin,w,gf<.7u","Benfluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,4,HBSL
82674,"Carbofuran, w,gf<.7u","Carbofuran, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,18,MCL-CA
82675,"Terbufos, w,gf<.7u","Terbufos, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,0.4,HBSL
82676,"Propyzamide,w,gf<.7u","Propyzamide, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,10,HBSL
82677,"Disulfoton, w,gf<.7u","Disulfoton, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,0.9,HBSL
